,Age,Fare,PassengerId,Pclass,Survived,Ticket,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Embarked_C,Embarked_Q,Embarked_S,female,isAlone,hasCabin,isChild,wealthy,HoH,mother
0,22.0,7.25,1,3,0.0,A/5 21171,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,38.0,71.2833,2,1,1.0,PC 17599,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
2,26.0,7.925,3,3,1.0,STON/O2. 3101282,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
3,35.0,53.1,4,1,1.0,113803,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
4,35.0,8.05,5,3,0.0,373450,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
5,26.0,8.4583,6,3,0.0,330877,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
6,54.0,51.8625,7,1,0.0,17463,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
7,2.0,21.075,8,3,0.0,349909,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,27.0,11.1333,9,3,1.0,347742,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
9,14.0,30.0708,10,2,1.0,237736,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
10,4.0,16.7,11,3,1.0,PP 9549,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
11,58.0,26.55,12,1,1.0,113783,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
12,20.0,8.05,13,3,0.0,A/5. 2151,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
13,39.0,31.275,14,3,0.0,347082,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
14,14.0,7.8542,15,3,0.0,350406,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
15,55.0,16.0,16,2,1.0,248706,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
16,2.0,29.125,17,3,0.0,382652,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
17,31.0,13.0,18,2,1.0,244373,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18,31.0,18.0,19,3,0.0,345763,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
19,31.0,7.225,20,3,1.0,2649,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
20,35.0,26.0,21,2,0.0,239865,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
21,34.0,13.0,22,2,1.0,248698,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
22,15.0,8.0292,23,3,1.0,330923,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
23,28.0,35.5,24,1,1.0,113788,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
24,8.0,21.075,25,3,0.0,349909,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
25,38.0,31.3875,26,3,1.0,347077,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
26,26.0,7.225,27,3,0.0,2631,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
27,19.0,263.0,28,1,0.0,19950,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
28,18.0,7.8792,29,3,1.0,330959,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
29,26.0,7.8958,30,3,0.0,349216,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
30,40.0,27.7208,31,1,0.0,PC 17601,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
31,40.0,146.5208,32,1,1.0,PC 17569,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
32,18.0,7.75,33,3,1.0,335677,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
33,66.0,10.5,34,2,0.0,C.A. 24579,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
34,28.0,82.1708,35,1,0.0,PC 17604,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
35,42.0,52.0,36,1,0.0,113789,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
36,26.0,7.2292,37,3,1.0,2677,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
37,21.0,8.05,38,3,0.0,A./5. 2152,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
38,18.0,18.0,39,3,0.0,345764,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
39,14.0,11.2417,40,3,1.0,2651,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
40,40.0,9.475,41,3,0.0,7546,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
41,27.0,21.0,42,2,0.0,11668,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
42,26.0,7.8958,43,3,0.0,349253,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
43,3.0,41.5792,44,2,1.0,SC/Paris 2123,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
44,19.0,7.8792,45,3,1.0,330958,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
45,26.0,8.05,46,3,0.0,S.C./A.4. 23567,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
46,26.0,15.5,47,3,0.0,370371,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
47,18.0,7.75,48,3,1.0,14311,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
48,26.0,21.6792,49,3,0.0,2662,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
49,18.0,17.8,50,3,0.0,349237,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
50,7.0,39.6875,51,3,0.0,3101295,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
51,21.0,7.8,52,3,0.0,A/4. 39886,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
52,49.0,76.7292,53,1,1.0,PC 17572,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
53,29.0,26.0,54,2,1.0,2926,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
54,65.0,61.9792,55,1,0.0,113509,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
55,40.0,35.5,56,1,1.0,19947,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
56,21.0,10.5,57,2,1.0,C.A. 31026,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
57,28.5,7.2292,58,3,0.0,2697,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
58,5.0,27.75,59,2,1.0,C.A. 34651,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
59,11.0,46.9,60,3,0.0,CA 2144,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
60,22.0,7.2292,61,3,0.0,2669,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
61,38.0,80.0,62,1,1.0,113572,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0
62,45.0,83.475,63,1,0.0,36973,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
63,4.0,27.9,64,3,0.0,347088,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
64,40.0,27.7208,65,1,0.0,PC 17605,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
65,4.0,15.2458,66,3,1.0,2661,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
66,29.0,10.5,67,2,1.0,C.A. 29395,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
67,19.0,8.1583,68,3,0.0,S.P. 3464,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
68,17.0,7.925,69,3,1.0,3101281,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
69,26.0,8.6625,70,3,0.0,315151,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
70,32.0,10.5,71,2,0.0,C.A. 33111,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
71,16.0,46.9,72,3,0.0,CA 2144,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
72,21.0,73.5,73,2,0.0,S.O.C. 14879,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
73,26.0,14.4542,74,3,0.0,2680,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
74,32.0,56.4958,75,3,1.0,1601,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
75,25.0,7.65,76,3,0.0,348123,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
76,26.0,7.8958,77,3,0.0,349208,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
77,26.0,8.05,78,3,0.0,374746,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
78,0.83,29.0,79,2,1.0,248738,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
79,30.0,12.475,80,3,1.0,364516,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
80,22.0,9.0,81,3,0.0,345767,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
81,29.0,9.5,82,3,1.0,345779,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
82,18.0,7.7875,83,3,1.0,330932,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
83,28.0,47.1,84,1,0.0,113059,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
84,17.0,10.5,85,2,1.0,SO/C 14885,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
85,33.0,15.85,86,3,1.0,3101278,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
86,16.0,34.375,87,3,0.0,W./C. 6608,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
87,26.0,8.05,88,3,0.0,SOTON/OQ 392086,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
88,23.0,263.0,89,1,1.0,19950,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1
89,24.0,8.05,90,3,0.0,343275,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
90,29.0,8.05,91,3,0.0,343276,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
91,20.0,7.8542,92,3,0.0,347466,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
92,46.0,61.175,93,1,0.0,W.E.P. 5734,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
93,26.0,20.575,94,3,0.0,C.A. 2315,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
94,59.0,7.25,95,3,0.0,364500,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
95,26.0,8.05,96,3,0.0,374910,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
96,71.0,34.6542,97,1,0.0,PC 17754,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
97,23.0,63.3583,98,1,1.0,PC 17759,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
98,34.0,23.0,99,2,1.0,231919,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
99,34.0,26.0,100,2,0.0,244367,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
100,28.0,7.8958,101,3,0.0,349245,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
101,26.0,7.8958,102,3,0.0,349215,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
102,21.0,77.2875,103,1,0.0,35281,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
103,33.0,8.6542,104,3,0.0,7540,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
104,37.0,7.925,105,3,0.0,3101276,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
105,28.0,7.8958,106,3,0.0,349207,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
106,21.0,7.65,107,3,1.0,343120,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
107,26.0,7.775,108,3,1.0,312991,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
108,38.0,7.8958,109,3,0.0,349249,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
